RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
149,149,Charl Schwartzel,65,-.276,-.035,-.168,-.073,42
150,150,Martin Flores,92,-.278,-.097,-.083,-.098,72
151,151,Adam Schenk,86,-.280,.073,-.262,-.091,66
152,152,Xinjun Zhang,81,-.297,.139,-.254,-.182,57
153,153,Tyrone Van Aswegen,101,-.313,-.493,-.008,.187,83
154,154,Seamus Power,86,-.319,.076,-.392,-.003,66
155,155,Patrick Rodgers,97,-.328,-.039,-.323,.034,73
156,156,Brett Stegmaier,67,-.353,-.135,.078,-.296,47
157,157,Denny McCarthy,71,-.355,.011,-.347,-.019,49
158,158,Dominic Bozzelli,65,-.363,-.244,-.252,.133,61
159,159,Peter Malnati,87,-.374,-.372,-.257,.255,75
160,160,Chris Stroud,81,-.391,-.277,-.056,-.058,58
161,161,Kelly Kraft,94,-.395,-.286,.017,-.126,74
162,162,Harris English,84,-.406,-.219,-.297,.111,68
163,163,Ben Silverman,90,-.444,.069,-.385,-.128,76
164,164,Michael Thompson,62,-.446,-.073,-.423,.050,56
165,165,Kevin Kisner,89,-.476,-.043,-.316,-.118,65
166,166,Robert Streb,78,-.500,-.680,.096,.084,60
167,167,Kyle Thompson,50,-.512,-.534,.036,-.014,36
168,168,Zecheng Dou,53,-.531,-.079,-.265,-.187,36
169,169,Rob Oppenheim,74,-.586,-.662,.026,.050,54
170,170,Rod Pampling,62,-.673,-.095,-.415,-.163,45
171,171,Nicholas Lindheim,77,-.678,-.258,-.368,-.052,59
172,172,Ricky Barnes,65,-.703,-1.019,.059,.257,45
173,173,Scott Brown,102,-.710,-.265,-.270,-.175,81
174,174,Billy Hurley III,70,-.727,-.696,-.170,.139,57
175,175,Matt Every,79,-.775,-.437,-.024,-.314,61
176,176,Ethan Tracy,72,-.787,-.054,-.424,-.309,54
177,177,Jonas Blixt,67,-.791,-.424,-.563,.196,48
178,178,Sung Kang,89,-.806,-.488,-.094,-.225,67
179,179,Wesley Bryan,69,-.814,-1.443,.222,.407,51
180,180,Whee Kim,93,-.864,-.748,.030,-.146,73
181,181,Cameron Tringale,67,-.915,-1.351,.348,.088,51
182,182,Matt Atkins,56,-.932,.134,-1.039,-.027,40
183,183,Jonathan Randolph,71,-.992,-.271,-.538,-.182,60
184,184,Roberto Díaz,72,-1.001,-.165,-.600,-.237,56
185,185,Cody Gribble,71,-1.020,-.212,-.696,-.111,54
186,186,Derek Fathauer,84,-1.170,-.757,-.365,-.048,68
187,187,Satoshi Kodaira,51,-1.187,.027,-.284,-.930,40
188,188,Martin Piller,79,-1.246,-.248,-.811,-.186,67
189,189,Michael Kim,74,-1.262,-1.023,-.213,-.027,54
190,190,Andrew Yun,51,-1.336,-.457,-.447,-.432,34
191,191,D.A. Points,63,-1.559,-1.069,-.541,.051,48
192,192,Greg Chalmers,56,-2.056,-.690,-1.192,-.174,41
193,193,Daniel Summerhays,51,-2.840,-.977,-1.586,-.277,38
