RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
119,121,Tag Ridings,103,-.025,-2.231,90
120,122,David McKenzie,82,-.027,-1.846,69
121,123,Danny Ellis,68,-.031,-1.844,60
122,124,Vaughn Taylor,88,-.039,-2.977,77
123,125,James Driscoll,80,-.047,-3.597,76
124,126,Mike Sposa,68,-.049,-2.836,58
125,127,Pat Perez,50,-.053,-2.233,42
126,128,Kirk Triplett,58,-.057,-2.808,49
127,129,J.L. Lewis,57,-.066,-3.300,50
128,130,Ryan Hietala,61,-.067,-3.425,51
129,131,Craig Barlow,77,-.075,-4.357,58
130,133,Chris Riley,86,-.077,-5.283,69
131,134,"Wes Short, Jr.",96,-.089,-7.544,85
132,135,Jon Mills,68,-.090,-4.860,54
133,137,Steve Flesch,119,-.102,-10.471,103
134,T138,Aaron Baddeley,78,-.106,-7.215,68
135,140,Greg Kraft,79,-.113,-7.557,67
136,141,Marco Dawson,87,-.114,-8.806,77
137,132,Ben Curtis,86,-.118,-7.931,67
138,142,José María Olazábal,62,-.122,-4.746,39
139,143,Mark Calcavecchia,94,-.129,-10.175,79
T140,144,Freddie Jacobson,56,-.139,-7.496,54
T140,136,Stewart Cink,93,-.139,-10.183,73
142,145,Shaun Micheel,96,-.153,-11.920,78
143,146,Justin Leonard,83,-.154,-10.037,65
144,147,Tim Clark,80,-.164,-9.521,58
145,148,Ryuji Imada,105,-.165,-14.361,87
146,149,John Huston,74,-.168,-10.928,65
147,T138,Chad Campbell,91,-.169,-11.296,67
148,150,Woody Austin,107,-.174,-16.173,93
149,151,Steve Jones,83,-.175,-12.086,69
150,152,Paul Goydos,72,-.189,-12.117,64
151,153,Tim Petrovic,95,-.192,-15.972,83
152,154,Shigeki Maruyama,94,-.207,-16.566,80
153,155,Shane Bertsch,104,-.222,-19.973,90
154,156,Bernhard Langer,77,-.229,-13.491,59
155,157,Ben Crane,85,-.233,-14.239,61
156,158,J.P. Hayes,55,-.237,-11.851,50
157,159,Nathan Green,108,-.239,-22.485,94
158,160,John Cook,67,-.243,-13.355,55
159,161,Arjun Atwal,97,-.251,-20.556,82
160,163,Robert Damron,91,-.253,-20.753,82
161,164,Jeff Sluman,101,-.258,-21.384,83
162,165,Carlos Franco,86,-.272,-20.922,77
163,166,Mark Wilson,79,-.274,-19.740,72
T164,T167,Doug Barron,74,-.282,-18.925,67
T164,T167,Michael Allen,84,-.282,-20.306,72
166,169,Brian Gay,107,-.283,-28.273,100
167,170,Ron Whittaker,81,-.290,-20.620,71
168,171,D.A. Points,82,-.291,-20.695,71
169,172,Mark Brooks,90,-.300,-22.173,74
T170,T173,Billy Andrade,78,-.301,-18.040,60
T170,T173,Bob Estes,85,-.301,-22.595,75
172,175,Jason Schultz,77,-.303,-19.719,65
173,176,Larry Mize,53,-.309,-12.673,41
174,177,Paul Azinger,87,-.320,-25.592,80
175,178,Dean Wilson,115,-.344,-31.946,93
T176,T179,Ian Leggatt,80,-.345,-24.144,70
T176,T179,Chris DiMarco,83,-.345,-21.038,61
178,181,Dudley Hart,83,-.365,-25.932,71
179,182,Alex Aragon,63,-.372,-20.078,54
180,183,Bob Tway,81,-.403,-27.015,67
181,184,Jerry Smith,94,-.435,-36.540,84
182,185,Vance Veazey,59,-.442,-23.880,54
183,186,Len Mattiace,59,-.449,-23.366,52
184,187,"John Engler, Jr.",69,-.463,-29.140,63
185,188,Stephen Leaney,84,-.480,-36.978,77
186,189,Michael Connell,51,-.486,-20.412,42
187,190,Todd Hamilton,72,-.492,-27.537,56
188,192,Todd Fischer,101,-.577,-51.934,90
189,193,Lee Janzen,79,-.587,-39.892,68
190,194,David Duval,71,-.670,-35.519,53
191,195,Jimmy Walker,60,-.685,-38.355,56
192,196,Mark O'Meara,52,-.779,-28.055,36
193,197,Greg Chalmers,71,-.797,-45.406,57
194,198,Corey Pavin,74,-.861,-49.097,57
195,199,Brad Faxon,78,-.903,-65.898,73
196,200,Hidemichi Tanaka,74,-1.080,-70.227,65
