RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
53,45,Roberto Castro,92,.244,18.317,75
54,T53,Blake Adams,107,.237,20.843,88
55,57,Kevin Chappell,91,.228,16.427,72
56,52,Jim Furyk,85,.225,14.613,65
57,55,Webb Simpson,77,.222,14.636,66
58,T53,Erik Compton,81,.215,13.728,64
59,72,Tom Gillis,75,.207,14.285,69
60,T64,Davis Love III,64,.206,10.709,52
61,58,John Merrick,83,.202,14.537,72
62,61,Daniel Summerhays,81,.200,13.607,68
T63,T59,Brandt Jobe,57,.198,8.903,45
T63,T59,Ángel Cabrera,54,.198,7.320,37
65,68,Cameron Tringale,88,.195,15.021,77
66,62,Padraig Harrington,67,.193,8.669,45
67,63,Kris Blanks,65,.192,11.517,60
68,T64,Ian Poulter,57,.186,7.070,38
69,69,Brendon de Jonge,115,.185,18.822,102
T70,67,Gary Christian,91,.170,12.716,75
T70,75,Scott Brown,65,.170,8.689,51
72,71,Ryan Moore,89,.163,13.234,81
73,T73,Geoff Ogilvy,73,.158,8.674,55
74,70,Tim Herron,88,.152,11.559,76
75,77,David Toms,60,.131,5.764,44
76,66,Chez Reavie,83,.125,8.255,66
77,78,Hunter Haas,69,.123,6.384,52
78,79,Jason Day,57,.121,5.669,47
79,80,Steve Stricker,73,.116,6.257,54
80,81,Zach Johnson,95,.112,8.270,74
T81,82,Matt Kuchar,86,.110,7.285,66
T81,T83,Kevin Streelman,89,.110,8.443,77
T83,T83,Harrison Frazar,56,.108,5.198,48
T83,T73,Mathew Goggin,65,.108,5.967,55
T85,76,Richard Lee,71,.106,6.015,57
T85,85,Kevin Kisner,69,.106,5.610,53
87,86,Ben Crane,73,.102,6.343,62
88,87,Pat Perez,81,.099,6.840,69
89,89,Charles Howell III,98,.098,7.561,77
90,T98,D.J. Trahan,73,.088,5.446,62
91,88,Brendan Steele,77,.084,5.363,64
T92,90,Camilo Villegas,79,.080,5.812,73
T92,91,Billy Mayfair,90,.080,6.244,78
94,T92,Martin Flores,95,.077,6.294,82
95,T92,Sangmoon Bae,81,.069,3.957,57
96,97,D.A. Points,88,.067,5.398,80
97,94,Bud Cauley,99,.065,5.936,91
98,T95,K.J. Choi,71,.064,3.577,56
99,T95,Scott Dunlap,57,.062,2.864,46
100,100,Rod Pampling,88,.061,4.195,69
101,102,Edward Loar,59,.059,2.535,43
102,T98,Kyle Reifers,86,.056,4.143,74
103,104,Bill Lunde,83,.052,3.480,67
104,101,J.J. Henry,93,.051,3.592,71
105,105,Russell Knox,72,.049,2.739,56
106,103,Carl Pettersson,92,.041,3.252,80
107,114,Chris Kirk,93,.032,2.725,85
108,108,Ken Duke,104,.019,1.726,90
109,107,Steve Wheatcroft,56,.001,.053,42
110,112,Stuart Appleby,75,-.003,-.193,65
111,109,Garth Mulroy,59,-.004,-.200,46
T112,111,Jhonattan Vegas,77,-.012,-.801,69
T112,110,Brian Davis,91,-.012,-.980,79
114,113,Nick Watney,97,-.016,-1.186,76
115,118,Jerry Kelly,84,-.018,-1.288,73
116,116,David Hearn,95,-.022,-1.899,88
117,117,Johnson Wagner,88,-.027,-2.055,76
T118,124,Robert Karlsson,54,-.040,-1.648,41
T118,121,Chad Campbell,84,-.040,-2.890,73
120,120,Miguel Angel Carballo,73,-.042,-2.378,57
T121,106,Ben Curtis,62,-.044,-2.100,48
T121,115,Jason Kokrak,79,-.044,-3.041,69
123,122,Matt Every,80,-.051,-3.280,64
124,127,J.J. Killeen,101,-.063,-5.272,84
125,126,Troy Matteson,100,-.066,-5.454,83
126,123,Freddie Jacobson,61,-.071,-3.126,44
127,119,Alexandre Rocha,62,-.083,-4.136,50
128,125,John Mallinger,74,-.086,-5.389,63
129,131,William McGirt,96,-.092,-7.244,79
130,137,Jonas Blixt,72,-.100,-6.377,64
131,130,Phil Mickelson,79,-.103,-6.207,60
132,128,Rocco Mediate,70,-.106,-6.156,58
T133,T132,Aaron Baddeley,73,-.108,-5.945,55
T133,129,Tommy Gainey,98,-.108,-9.737,90
135,134,Jason Bohn,81,-.110,-7.249,66
136,136,Y.E. Yang,64,-.118,-5.682,48
137,T132,Arjun Atwal,79,-.132,-8.710,66
138,135,Trevor Immelman,76,-.140,-7.967,57
139,140,George McNeill,85,-.149,-10.591,71
140,142,Roland Thatcher,55,-.156,-6.858,44
141,141,Luke Donald,63,-.188,-9.030,48
142,138,"Ted Potter, Jr.",77,-.191,-11.657,61
143,139,Matt Jones,53,-.192,-8.429,44
144,153,Charlie Wi,86,-.197,-14.398,73
145,143,Ryo Ishikawa,54,-.199,-7.355,37
146,144,Danny Lee,74,-.202,-11.906,59
147,147,David Mathis,83,-.203,-14.000,69
148,T145,Kyle Thompson,51,-.204,-7.538,37
149,T145,Spencer Levin,81,-.207,-13.640,66
150,148,Marc Leishman,84,-.209,-15.899,76
151,149,Troy Kelly,68,-.211,-10.762,51
152,150,Andres Romero,68,-.216,-11.652,54
153,158,Mark Anderson,75,-.217,-13.208,61
154,151,Jonathan Byrd,69,-.220,-12.333,56
155,155,Cameron Beckman,81,-.226,-15.619,69
156,152,Chris Stroud,86,-.236,-17.723,75
157,154,Jimmy Walker,101,-.243,-22.157,91
T158,T156,Kevin Na,80,-.255,-16.586,65
T158,T156,Mark Wilson,84,-.255,-17.341,68
160,159,Brandt Snedeker,81,-.276,-17.939,65
161,160,Stephen Ames,54,-.277,-10.809,39
162,162,Dicky Pride,62,-.287,-14.070,49
163,161,Ricky Barnes,92,-.290,-23.740,82
164,164,Vaughn Taylor,81,-.327,-20.913,64
165,163,Greg Chalmers,88,-.335,-25.134,75
166,167,Brian Gay,91,-.364,-28.376,78
167,168,Chris DiMarco,83,-.371,-26.699,72
168,166,Michael Thompson,80,-.375,-24.391,65
169,165,Justin Leonard,79,-.401,-27.240,68
170,169,Robert Allenby,76,-.449,-29.663,66
171,170,Bob Estes,78,-.454,-29.521,65
172,172,Patrick Sheehan,58,-.468,-20.613,44
173,171,Nathan Green,73,-.479,-27.318,57
174,173,Stewart Cink,71,-.485,-26.174,54
175,179,Daniel Chopra,55,-.489,-21.024,43
176,175,James Driscoll,83,-.525,-36.735,70
177,176,Tommy Biershenk,74,-.551,-31.964,58
178,177,Matt Bettencourt,80,-.558,-33.488,60
179,178,Colt Knost,79,-.566,-37.942,67
180,174,Brendon Todd,78,-.570,-35.903,63
181,180,Marco Dawson,60,-.606,-27.876,46
182,183,Sung Kang,75,-.628,-38.918,62
183,182,Bryce Molder,83,-.632,-44.880,71
184,181,Gavin Coles,72,-.676,-38.525,57
185,184,Derek Lamely,64,-.754,-42.203,56
186,185,Nick O'Hern,78,-.860,-58.494,68
187,186,Ryuji Imada,78,-.919,-63.427,69
188,189,Tom Pernice Jr.,62,-.921,-47.890,52
189,187,Stephen Gangluff,57,-.932,-40.090,43
190,188,Billy Hurley III,70,-.967,-55.126,57
191,190,Michael Bradley,63,-1.146,-63.020,55
